     Eje X     Eje Y     Eje Z
 -0.051613  0.066316  0.000004
 -0.053582  0.065039  1.002285
 -0.055504  0.063992  1.003762
 -0.057891  0.063621  1.004418
 -0.059117  0.062324  1.003828
 -0.060055  0.062055  1.003695
 -0.059754  0.061906  1.003844
 -0.036348  0.051164  1.004121
 -0.037586  0.046871  1.003961
 -0.039160  0.043063  1.004145
 -0.040465  0.038922  1.005621
 -0.041793  0.035863  1.006723
 -0.042617  0.033535  1.006586
 -0.043184  0.031609  1.006598
 -0.053320  0.050012  1.006969
 -0.052254  0.051492  1.006191
 -0.049926  0.053922  1.005406
 -0.047285  0.056340  1.006223
 -0.045812  0.058969  1.007305
 -0.043758  0.062207  1.004371
 -0.041043  0.063664  1.003695
 -0.050195  0.044977  1.003547
 -0.049219  0.045547  1.004172
 -0.049523  0.046219  1.004777
 -0.049738  0.046148  1.004738
 -0.050500  0.046687  1.003316
 -0.050305  0.047148  1.002758
 -0.049125  0.047203  1.002867
 -0.034031  0.060035  1.003652
 -0.034168  0.060297  1.004223
 -0.034867  0.060699  1.004242
 -0.035871  0.060414  1.004414
 -0.037348  0.060051  1.003289
 -0.039363  0.059348  1.001633
 -0.041187  0.057930  1.000273
 -0.044191  0.050930  0.999848
 -0.046008  0.048293  1.002164
 -0.047438  0.045277  1.003863
 -0.048781  0.042672  1.003820
 -0.049793  0.039301  1.005848
 -0.051930  0.037000  1.007047
 -0.052848  0.034164  1.007199
 -0.031699  0.062969  1.008324
 -0.033133  0.063422  1.001043
 -0.034410  0.062773  0.999215
 -0.036078  0.060797  0.999352
 -0.038727  0.059574  1.001461
 -0.040766  0.059504  1.001539
 -0.044148  0.056742  1.002234
 -0.037883  0.052770  1.002742
 -0.037887  0.049457  1.002730
 -0.040789  0.047383  1.007473
 -0.042590  0.044816  1.004660
 -0.043074  0.042578  1.004434
 -0.045395  0.041992  1.007719
 -0.046340  0.040773  1.004336
 -0.049176  0.049211  1.003965
 -0.049016  0.048039  1.005180
 -0.048785  0.046355  1.005184
 -0.049438  0.046344  1.006855
 -0.048105  0.045879  1.004840
 -0.046746  0.045602  1.005973
 -0.042961  0.042418  1.008312
 -0.045160  0.040387  1.004320
 -0.046590  0.038070  1.002477
 -0.048016  0.036375  1.002762
 -0.049570  0.035301  1.002363
 -0.050480  0.033855  1.001363
 -0.050758  0.033555  1.001172
 -0.063437  0.044805  1.001535
 -0.061172  0.047773  1.002547
 -0.057871  0.051895  1.004113
 -0.054914  0.058215  1.004082
 -0.050609  0.064301  1.003262
 -0.046328  0.070066  1.003953
 -0.042426  0.075777  1.003590
 -0.040852  0.037539  1.002258
 -0.038129  0.040859  1.004512
 -0.036449  0.042914  1.004480
 -0.035898  0.043969  1.002797
 -0.036094  0.044090  1.002039
 -0.036285  0.042906  1.002594
 -0.036609  0.042672  1.003949
 -0.040297  0.060457  1.005629
 -0.043477  0.058004  1.004316
 -0.046160  0.056000  1.005523
 -0.048828  0.054844  1.006703
 -0.050422  0.054293  1.006109
 -0.051645  0.054492  1.004441
 -0.051297  0.054770  1.003605
 -0.049258  0.038219  1.003836
 -0.048313  0.039336  1.004613
 -0.047027  0.040840  1.005207
 -0.046770  0.042637  1.005129
 -0.045902  0.044137  1.005219
 -0.045473  0.045496  1.004430
 -0.044805  0.045957  1.005418
 -0.045473  0.050363  1.006656
 -0.046770  0.048016  1.002992
 -0.048211  0.045426  1.002840
 -0.048348  0.045187  1.003902
 -0.047863  0.046004  1.003840
 -0.047152  0.047719  1.002844
 -0.045254  0.049750  1.003273
 -0.046836  0.045508  1.003723
 -0.046219  0.044719  1.006082
